attending_count,id,interested_count,maybe_count,noreply_count,start_time,contacts
16,1729508527332205,14,14,187,2016-05-31T18:00:00+0000,231
16,1702809763316999,33,33,387,2016-05-31T18:50:00+0200,469
34,1083238081737383,70,70,49,2016-05-31T18:30:00+0200,223
21,277650269239920,24,24,50,2016-05-30T20:00:00-0500,119
6,250036532010471,26,26,131,2016-05-30T18:30:00+0200,189
0,309014299444167,11,11,0,2016-05-28T16:00:00+0200,22
13,1770674769830109,76,76,334,2016-05-28T13:30:00+0200,499
15,1739991942911614,15,15,223,2016-05-27T17:30:00+0000,268
12,260041474344665,53,53,47,2016-05-27T19:00:00+0200,165
38,1429846503696001,86,86,587,2016-05-27T18:00:00+0300,797
4,1547140555580418,10,10,3,2016-05-27T14:30:00+0200,27
39,222595718123111,127,127,104,2016-05-26T19:00:00+0200,397
54,409808732476878,303,303,199,2016-05-26T18:30:00+0200,859
9,489306651266252,46,46,103,2016-05-26T12:30:00+0200,204
17,1595449980770128,37,37,340,2016-05-26T08:30:00+0200,431
167,258642141147557,467,467,52,2016-05-25T19:00:00+0200,1153
13,970299706417605,17,17,109,2016-05-25T19:00:00+0200,156
12,1036525299747957,11,11,191,2016-05-25T17:00:00+0000,225
5,177595085974081,17,17,37,2016-05-25T18:30:00+0200,76
53,1183381538368152,135,135,392,2016-05-25T18:30:00+0200,715
9,1048900818537819,16,16,155,2016-05-25T18:00:00+0200,196
12,236024966763785,16,16,185,2016-05-25T15:00:00+0000,229
8,224606141230930,11,11,264,2016-05-25T12:00:00+0200,294
48,1576006229376077,131,131,186,2016-05-25T08:30:00+0200,496
10,1592310364413180,18,18,119,2016-05-24T17:30:00+0200,165
9,1006399032788075,20,20,0,2016-05-24T09:00:00+0200,49
67,1127982133918887,139,139,439,2016-05-23T18:30:00+0200,784
11,517186458482985,67,67,298,2016-05-23T18:30:00+0200,443
2,1719538681591262,21,21,25,2016-05-21T08:00:00+0200,69
10,499578446901154,11,11,216,2016-05-20T18:00:00+0000,248
10,1062727953806027,27,27,69,2016-05-20T18:00:00+0200,133
18,240713372958924,20,20,380,2016-05-19T18:00:00+0000,438
17,889924431154399,18,18,3,2016-05-19T17:15:00+0000,56
23,1675761109352031,53,53,102,2016-05-19T12:30:00+0200,231
4,207637469620357,26,26,319,2016-05-19T08:30:00+0200,375
42,1050947608300963,54,54,203,2016-05-18T18:30:00-0500,353
56,519844248215781,87,87,659,2016-05-18T19:30:00+0100,889
7,1117068195004229,11,11,195,2016-05-18T18:00:00+0000,224
21,568882749955955,40,40,333,2016-05-18T19:00:00+0100,434
52,1776341162587693,184,184,159,2016-05-18T19:30:00+0200,579
13,880935885367124,16,16,111,2016-05-18T17:00:00+0000,156
2,244048962632848,9,9,285,2016-05-18T18:00:00+0200,305
26,953131161422340,25,25,260,2016-05-17T19:30:00+0200,336
12,243937409300309,12,12,50,2016-05-17T19:00:00+0200,86
5,262060007475761,12,12,8,2016-05-16T19:00:00+0200,37
20,1579933708966424,47,47,45,2016-05-16T19:00:00+0200,159
15,219438441772995,11,11,36,2016-05-15T10:00:00+0000,73
10,266635973681164,30,30,455,2016-05-14T15:00:00+0200,525
11,1036651596409825,16,16,191,2016-05-13T18:00:00+0000,234
20,597695317058300,29,29,58,2016-05-13T19:00:00+0200,136
45,599880293510959,34,34,114,2016-05-12T19:00:00-0700,227
35,1741517812749411,107,107,524,2016-05-12T19:30:00+0200,773
103,233088560391532,185,185,644,2016-05-12T19:00:00+0200,1117
5,473196106208339,16,16,174,2016-05-12T18:30:00+0200,211
4,212166812498701,22,22,198,2016-05-12T18:00:00+0200,246
55,236116063419626,99,99,1116,2016-05-12T18:00:00+0300,1369
14,1158829010806380,10,10,390,2016-05-11T18:00:00+0000,424
20,867452370050050,87,87,55,2016-05-11T20:00:00+0200,249
19,525009837701536,68,68,539,2016-05-11T19:00:00+0200,694
15,239679496389596,9,9,192,2016-05-11T15:00:00+0000,225
9,1097262347000756,18,18,38,2016-05-11T12:30:00+0200,83
16,1648368072153858,47,47,48,2016-05-10T18:00:00+0200,158
7,985912004778969,27,27,165,2016-05-09T19:00:00+0200,226
168,213345399022223,452,452,389,2016-05-08T14:00:00+0200,1461
6,1158415927522330,26,26,94,2016-05-07T14:00:00+0200,152
51,818015301664637,100,100,203,2016-05-05T18:30:00+0200,454
401,1526935330948633,651,651,1613,2016-05-04T10:00:00+0200,3316
5,1709593122653620,12,12,103,2016-05-03T19:00:00-0300,132
30,568517399996554,104,104,620,2016-05-03T19:00:00+0200,858
123,512238618960379,118,118,519,2016-04-28T19:00:00+0200,878
11,1692596484215104,34,34,161,2016-04-27T19:00:00+0200,240
70,501870320013227,174,174,294,2016-04-27T08:15:00+0200,712
43,1555353191430715,36,36,408,2016-04-26T18:00:00+0000,523
9,1530835607224133,31,31,177,2016-04-26T18:00:00+0300,248
1,1087010101360443,5,5,2,2016-04-26T14:00:00+0200,13
17,1604001469918187,55,55,83,2016-04-25T18:00:00+0200,210
8,104629433275618,26,26,687,2016-04-23T11:00:00+0300,747
9,1401483963484545,23,23,35,2016-04-21T19:00:00+0200,90
90,1009786539069234,149,149,224,2016-04-20T17:45:00-0500,612
49,1067471649981143,132,132,375,2016-04-20T19:00:00+0100,688
11,1686859694921599,37,37,12,2016-04-20T18:30:00+0200,97
34,1713205088963079,89,89,429,2016-04-20T18:00:00+0200,641
27,270694343261657,55,55,310,2016-04-19T19:00:00+0200,447
15,470250526506479,41,41,120,2016-04-19T18:30:00+0200,217
24,469591243235018,62,62,134,2016-04-18T19:30:00+0200,282
